"Input";"Coordinates"
"5001 S Long Ave, Chicago IL, 60638";"41.8012016,-87.7570543"
"10835 Lombard Ave, Chicago Ridge IL, 60415";"41.69505030000001,-87.77346209999996"
"10800 Lyman Ave, Chicago Ridge IL, 60415";"41.6952445,-87.7723454"
"5757 105th St, Chicago Ridge IL, 60415";"41.7008809,-87.76360799999998"
"255 Pleasant Dr, Chicago Heights IL, 60411";"41.532932,-87.652762"
"401 Concord Dr, Chicago Heights IL, 60411";"41.4976174,-87.66162629999997"
"1345 Sunnyside Ave, Chicago Heights IL, 60411";"41.5067945,-87.65247899999997"
"422 W 16th Pl, Chicago Heights IL, 60411";"41.501073,-87.66233999999997"
"140 E 23rd St, Chicago Heights IL, 60411";"41.4942404,-87.63159869999998"
"2712 Miller Ave, South Chicago Heights IL, 60411";"41.4895117,-87.64039609999998"
"101 W Greenbriar Ave, Chicago Heights IL, 60411";"41.524425,-87.64506260000002"
"176 E 11th St, Chicago Heights IL, 60411";"41.511155,-87.63228000000004"
"1013 Division St, Chicago Heights IL, 60411";"41.5130428,-87.664627"
"1520 Center Ave, Chicago Heights IL, 60411";"41.5035387,-87.6292186"
"828 Willow Dr, Chicago Heights IL, 60411";"41.51629519999999,-87.64929899999998"
"25 W 16th Pl, Chicago Heights IL, 60411";"41.5014969,-87.64179939999997"
"2950 Glenwood Dyer Rd, CHicago Heights IL, 60411";"41.5188072,-87.5450765"
"3341 Miller Ave, South Chicago Heights IL, 60411";"41.4778156,-87.64006159999997"
"101 W 10th St, Chicago Heights IL, 60411";"41.5141874,-87.64418869999997"
"22331 Cottage Grove Ave, Chicago Heights IL, 60411";"41.4844537,-87.5949812"
"100 W 10th St, Chicago Heights IL, 60411";"41.5133235,-87.64528510000002"
"1125 Division St, Chicago Heights IL, 60411";"41.5110587,-87.66340830000001"
"410 Ashland Ave, Chicago Heights IL, 60411";"41.523691,-87.65596199999999"
"7901 S Sangamon St, Chicago IL, 60620";"41.7503284,-87.64707349999998"
"3900 W Peterson Ave, Chicago IL, 60659";"41.9908915,-87.72756849999996"
"3633 N California Ave, Chicago IL, 60618";"41.9480946,-87.6973069"
"4930 S Cottage Grove Ave, Chicago IL, 60615";"41.8049928,-87.60716439999999"
"3000 N Mango Ave, Chicago IL, 60634";"41.9353592,-87.77037380000002"
"10155 S Ewing Ave, Chicago IL, 60617";"41.7106001,-87.53468099999998"
"900 W Garfield Blvd, Chicago IL, 60609";"41.7945273,-87.64799269999997"
"4839 S Harding Ave, Chicago IL, 60632";"41.8047025,-87.72192029999997"
"2235 S Albany Ave, Chicago IL, 60623";"41.8504839,-87.70250429999999"
"7740 S Eberhart Ave, Chicago IL, 60619";"41.7535034,-87.612931"
"4052 S Wabash Ave, Chicago IL, 60653";"41.8203675,-87.6250776"
"4223 W 25th St, Chicago IL, 60623";"41.8457328,-87.73022889999999"
"8734 S Paulina St, Chicago IL, 60620";"41.7346313,-87.6658114"
"3131 N Mason Ave, Chicago IL, 60634";"41.9376152,-87.77459729999998"
"4325 S Richmond St, Chicago IL, 60632";"41.81493409999999,-87.69774589999997"
"13110 S Baltimore Ave, Chicago IL, 60633";"41.6568912,-87.54759469999999"
"4500 S Wallace St, Chicago IL, 60609";"41.812397,-87.64107200000001"
"5515 S Sawyer Ave, Chicago IL, 60629";"41.7927979,-87.70415780000002"
"6216 N Glenwood Ave, Chicago IL, 60660";"41.9951404,-87.66565200000002"
"2347 W Augusta Blvd, Chicago IL, 60622";"41.8991248,-87.68603619999999"
"750 E 40th St, Chicago IL, 60653";"41.8215042,-87.60770980000001"
"3640 W Wolfram St, Chicago IL, 60618";"41.9329979,-87.71895380000001"
"4827 N Kenmore Ave, Chicago IL, 60640";"41.969738,-87.65580119999998"
"3750 E 112th St, Chicago IL, 60617";"41.6922803,-87.53197009999997"
"2211 W 18th Pl, Chicago IL, 60608";"41.8565017,-87.68133219999999"
"1332 N Massasoit Ave, Chicago IL, 60651";"41.9043552,-87.77001940000002"
"4120 W 57th St, Chicago IL, 60629";"41.7899764,-87.72634849999997"
"9037 S Harper Ave, Chicago IL, 60619";"41.7301071,-87.5862856"
"2643 S Central Park Ave, Chicago IL, 60623";"41.8431425,-87.71444050000002"
