,entityname,fulladdress
9,Harold Colbert Jones Memorial,"220 E 15th St, Chicago Heights IL, 60411"
30,Bibleway Apostolic Faith Church,"1807 S Kostner, Chicago IL, 60651"
42,New Direction Empowerment,"1260 W 103rd St, Chicago IL, 60643"
46,New Direction Empowerment,"2747 W 71st St, Chicago IL, 60629"
50,New Direction Empowerment,"4946 S Vincennes Ave, Chicago IL, 60615"
56,New Life Community Ministries,"101 W 10th St, Chicago Heights IL, 60411"
60,New Life Community Ministries,"2100 N Kildare, Chicago IL, 60639"
64,New Life Community Ministries,"7800 S Racine Ave, Chicago IL, 60620"
68,New Life Community Ministries,"10724 S Ewing Ave, Chicago IL, 60617"
72,New Life Community Ministries,"2700 W Wilcox St, Chicago IL, 60612"
76,New Life Community Ministries,"4821 W Chicago Ave, Chicago IL, 60651"
80,New Life Community Ministries,"4540 W Washington Blvd, Chicago IL, 60624"
84,New Life Community Ministries,"6334 W Diversey, Chicago IL, 60639"
88,New Life Community Ministries,"2145 N Maplewood Ave, Chicago IL, 60647"
92,New Life Community Ministries,"1254 E 75th St, Chicago IL, 60619"
96,New Life Community Ministries,"718 S Independence Blvd, Chicago IL, 60624"
100,New Life Community Ministries,"5022 W Madison St, Chicago IL, 60644"
104,New Life Community Ministries,"3555 West Huron, Chicago IL, 60624"
108,New Life Community Ministries,"2431 W Roosevelt Rd, Chicago IL, 60608"
112,Faith Miracle Temple Church,"4258 W Iowa St, Chicago IL, 60651"
116,Chicago Youth Centers,"218 S Wabash Ave Ste 600, Chicago IL, 60604"
118,Abundant Favor Worship Ctr,"5841 W. Division, Chicago IL, 60651"
144,Arts 4 Students,"1309 W 95th St, Chicago IL, 60643"
148,New Life In Christ Ministry,"2930 W Flournoy St, Chicago IL, 60612"
152,Boys and Girls Clubs of Chicago,"2801 S Ridgeway Ave, Chicago IL, 60623"
154,Boys and Girls Clubs of Chicago,"2950 W Washington Blvd, Chicago IL, 60612"
