,id,ada2015,ada2016,adp2015,averagedailyparticipation2016,chicago2015,chicago2016,claimcalendarmonth2015,claimcalendaryear2015,claimcalendaryear2016,daysclaimed2015,daysclaimed2016,eligibleforfreeandreduced2016,eligibles2015,enrol2015,enrol2016,federalfiscalyear2015,freeandreducedmealcount2016,freeeligibles2016,freemealcount2016,mealcount2015,paideligibles2016,paidmealcount2016,programyear2015,programyear2016,reducedeligibles2016,reducedmealcount2016,sitenumber2015,sitenumber2016,sitezipplus42016,statefiscalyear2015,zip2015,zipplus42015,fulladdress2015_x,fulladdress2016_x,fulladdress2015_y,fulladdress2016_y,fulladdress2015,fulladdress2016,id_adr,Input,Coordinates,Lat,Lng
242,57348,56.333333333333336,64.25,23.958333333333332,55.94081504375,1.0,1.0,6.083333333333333,2014.75,2015.625,16.0,18.25,62.5,34.833333333333336,78.16666666666667,80.25,2015.0,1020.5,62.5,1020.5,392.9583333333333,8.75,139.0,2015.0833333333333,2016.0,0.0,0.0,57348.0,57348.0,2419.0,2015.1666666666667,60411.0,2419.0,"1125 Division St, Chicago Heights IL, 60411","1125 Division St, Chicago Heights IL, 60411","1125 Division St, Chicago Heights IL, 60411","1125 Division St, Chicago Heights IL, 60411","1125 Division St, Chicago Heights IL, 60411","1125 Division St, Chicago Heights IL, 60411","1125divisionst,chicagoheightsil,60411","1125 Division St, Chicago Heights IL, 60411","41.5110587,-87.66340830000001",41.5110587,-87.66340830000001
243,42879,57.0,12.875,10.590909090909092,10.231899832375,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,15.818181818181818,17.75,13.125,38.88235294117647,60.09090909090909,13.125,2015.0,184.375,13.125,184.375,176.77272727272728,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,42879.0,42879.0,1816.0,2015.1818181818182,60623.0,1816.0,"3151 W Douglas Blvd, Chicago IL, 60623","3151 W Douglas Blvd, Chicago IL, 60623","3151 W Douglas Blvd, Chicago IL, 60623","3151 W Douglas Blvd, Chicago IL, 60623","3151 W Douglas Blvd, Chicago IL, 60623","3151 W Douglas Blvd, Chicago IL, 60623","3151wdouglasblvd,chicagoil,60623","3151 W Douglas Blvd, Chicago IL, 60623","41.8621559,-87.70519430000002",41.8621559,-87.70519430000002
244,42899,376.1818181818182,387.25,87.04545454545455,198.70334085,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,16.545454545454547,18.875,407.5,245.27777777777777,401.3636363636364,407.5,2015.0,3749.25,407.5,3749.25,1462.0,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,42899.0,42899.0,5612.0,2015.1818181818182,60628.0,5612.0,"11530 S Prairie Ave, Chicago IL, 60628","11530 S Prairie Ave, Chicago IL, 60628","11530 S Prairie Ave, Chicago IL, 60628","11530 S Prairie Ave, Chicago IL, 60628","11530 S Prairie Ave, Chicago IL, 60628","11530 S Prairie Ave, Chicago IL, 60628","11530sprairieave,chicagoil,60628","11530 S Prairie Ave, Chicago IL, 60628","41.6844595,-87.61679700000002",41.6844595,-87.61679700000002
245,43299,70.16666666666667,72.5,14.444444444444445,37.4321076125,1.0,1.0,6.5,2014.75,2015.625,16.25,18.125,85.625,52.083333333333336,104.16666666666667,105.5,2015.0,676.75,85.625,676.75,241.94444444444446,19.875,139.625,2015.0833333333333,2016.0,0.0,0.0,43299.0,43299.0,4324.0,2015.25,60622.0,4324.0,"3110 W Grand Ave, Chicago IL, 60622","3110 W Grand Ave, Chicago IL, 60622","3110 W Grand Ave, Chicago IL, 60622","3110 W Grand Ave, Chicago IL, 60622","3110 W Grand Ave, Chicago IL, 60622","3110 W Grand Ave, Chicago IL, 60622","3110wgrandave,chicagoil,60622","3110 W Grand Ave, Chicago IL, 60622","41.8980721,-87.70466449999998",41.8980721,-87.70466449999998
246,44283,179.1818181818182,207.25,40.18181818181818,65.58823529375,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,16.09090909090909,17.875,185.875,176.36363636363637,186.9090909090909,216.375,2015.0,1171.875,185.875,1171.875,653.1818181818181,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,44283.0,44283.0,3120.0,2015.1818181818182,60617.0,3120.0,"8739 S Exchange Ave, Chicago IL, 60617","8739 S Exchange Ave, Chicago IL, 60617","8739 S Exchange Ave, Chicago IL, 60617","8739 S Exchange Ave, Chicago IL, 60617","8739 S Exchange Ave, Chicago IL, 60617","8739 S Exchange Ave, Chicago IL, 60617","8739sexchangeave,chicagoil,60617","8739 S Exchange Ave, Chicago IL, 60617","41.7358513,-87.5527644",41.7358513,-87.5527644
247,46370,3278.181818181818,3379.75,729.0,1614.569640625,1.0,1.0,6.454545454545454,2014.7272727272727,2015.625,19.0,19.75,3568.25,2271.470588235294,3510.4545454545455,3568.25,2015.0,31637.375,3568.25,31637.375,13826.90909090909,0.0,0.0,2015.090909090909,2016.0,0.0,0.0,46370.0,46370.0,4344.0,2015.1818181818182,60624.0,4344.0,"1132 S Homan Ave, Chicago IL, 60624","1132 S Homan Ave, Chicago IL, 60624","1132 S Homan Ave, Chicago IL, 60624","1132 S Homan Ave, Chicago IL, 60624","1132 S Homan Ave, Chicago IL, 60624","1132 S Homan Ave, Chicago IL, 60624","1132shomanave,chicagoil,60624","1132 S Homan Ave, Chicago IL, 60624","41.86712319999999,-87.71099649999996",41.86712319999999,-87.71099649999996
248,46914,275.72727272727275,299.42857142857144,34.515151515151516,89.68160246571429,1.0,1.0,6.454545454545454,2014.7272727272727,2015.5714285714287,16.09090909090909,18.0,241.14285714285714,97.78787878787878,293.3636363636364,327.7142857142857,2015.0,1610.2857142857142,193.85714285714286,1356.0,539.4848484848485,86.57142857142857,291.2857142857143,2015.090909090909,2016.0,47.285714285714285,254.28571428571428,46914.0,46914.0,3324.0,2015.1818181818182,60642.0,3324.0,"1443 W Division St, Chicago IL, 60642","1443 W Division St, Chicago IL, 60642","1443 W Division St, Chicago IL, 60642","1443 W Division St, Chicago IL, 60642","1443 W Division St, Chicago IL, 60642","1443 W Division St, Chicago IL, 60642","1443wdivisionst,chicagoil,60642","1443 W Division St, Chicago IL, 60642","41.9029929,-87.66424540000003",41.9029929,-87.66424540000003
249,48711,34.166666666666664,42.0,10.88888888888889,39.670403281111106,1.0,1.0,6.5,2014.75,2015.6666666666667,20.75,20.77777777777778,40.44444444444444,18.5,37.0,42.44444444444444,2015.0,823.8888888888889,40.44444444444444,823.8888888888889,234.30555555555554,2.0,38.888888888888886,2015.0833333333333,2016.0,0.0,0.0,48711.0,48711.0,1903.0,2015.25,60651.0,1903.0,"4040 W Division St, Chicago IL, 60651","4040 W Division St, Chicago IL, 60651","4040 W Division St, Chicago IL, 60651","4040 W Division St, Chicago IL, 60651","4040 W Division St, Chicago IL, 60651","4040 W Division St, Chicago IL, 60651","4040wdivisionst,chicagoil,60651","4040 W Division St, Chicago IL, 60651","41.902875,-87.72795639999998",41.902875,-87.72795639999998
250,48712,49.833333333333336,52.666666666666664,16.13888888888889,50.01448613111111,1.0,1.0,6.5,2014.75,2015.6666666666667,20.5,20.444444444444443,52.55555555555556,28.25,56.583333333333336,54.55555555555556,2015.0,1021.6666666666666,52.55555555555556,1021.6666666666666,337.1388888888889,2.0,36.0,2015.0833333333333,2016.0,0.0,0.0,48712.0,48712.0,1436.0,2015.25,60651.0,1436.0,"5108 W Division St, Chicago IL, 60651","5108 W Division St, Chicago IL, 60651","5108 W Division St, Chicago IL, 60651","5108 W Division St, Chicago IL, 60651","5108 W Division St, Chicago IL, 60651","5108 W Division St, Chicago IL, 60651","5108wdivisionst,chicagoil,60651","5108 W Division St, Chicago IL, 60651","41.9025344,-87.75377939999998",41.9025344,-87.75377939999998
251,52022,51.4,116.11111111111111,22.1,41.72509573222223,1.0,1.0,6.3,2014.7,2015.6666666666667,19.2,17.88888888888889,131.33333333333334,29.95,59.9,131.33333333333334,2015.0,745.5555555555555,131.33333333333334,745.5555555555555,428.3,0.0,0.0,2015.1,2016.0,0.0,0.0,52022.0,52022.0,2617.0,2015.1,60643.0,2617.0,"10650 S Longwood Dr, Chicago IL, 60643","10650 S Longwood Dr, Chicago IL, 60643","10650 S Longwood Dr, Chicago IL, 60643","10650 S Longwood Dr, Chicago IL, 60643","10650 S Longwood Dr, Chicago IL, 60643","10650 S Longwood Dr, Chicago IL, 60643","10650slongwooddr,chicagoil,60643","10650 S Longwood Dr, Chicago IL, 60643","41.6996246,-87.67120119999998",41.6996246,-87.67120119999998
